student_id,gender,age_band,ses_band,region_band,entry_score_band,international_flag
S00083,Female,21-25,Low,Regional,Medium,False
S00084,Female,<=20,Medium,Local,Medium,False
S00085,Female,<=20,Low,Local,High,False
S00086,Female,21-25,Medium,Local,Medium,False
S00087,Male,21-25,Low,Regional,Medium,False
S00088,Male,<=20,Low,Local,Low,False
S00089,Male,21-25,Medium,International,Medium,True
S00090,Female,<=20,Medium,Local,Medium,False
S00091,Female,<=20,Medium,Regional,Medium,False
S00092,Male,<=20,Medium,Regional,Medium,False
S00093,Male,<=20,Medium,Local,Low,False
S00094,Male,21-25,Medium,Regional,Medium,False
S00095,Male,21-25,Medium,International,Low,True
S00096,Male,<=20,Medium,International,Medium,True
S00097,Male,21-25,Medium,Regional,Medium,False
S00098,Female,21-25,Medium,Local,Low,False
S00099,Female,<=20,High,Regional,High,False
S00100,Female,<=20,Low,Regional,Medium,False
S00101,Female,35+,High,Local,Medium,False
S00102,Male,21-25,Low,Local,Medium,False
S00103,Female,35+,Medium,Local,Medium,False
S00104,Male,<=20,Low,Local,Medium,False
S00105,Male,21-25,Medium,Regional,Medium,False
S00106,Female,<=20,Low,Local,Medium,False
S00107,Female,<=20,High,Local,Medium,False
S00108,Male,<=20,High,Local,Low,False
S00109,Female,<=20,Medium,Local,High,False
S00110,Female,<=20,Medium,Local,High,False
S00111,Female,<=20,High,Local,Medium,False
S00112,Female,<=20,High,Local,Low,False
S00113,Male,21-25,Medium,Regional,Low,False
S00114,Male,<=20,Medium,Local,Medium,False
S00115,Male,<=20,Medium,Local,Low,False
S00116,Male,<=20,Medium,Local,Medium,False
S00117,Male,<=20,Medium,Local,High,False
S00118,Female,21-25,Medium,Local,High,False
S00119,Male,<=20,Low,Local,Low,False
S00120,Male,21-25,Medium,Local,High,False
S00121,Male,<=20,Medium,Local,Medium,False
S00122,Male,<=20,High,Local,Low,False
S00123,Female,26-34,High,Regional,Medium,False
S00124,Female,21-25,Medium,Local,Medium,False
S00125,Female,<=20,Medium,Regional,High,False
S00126,Female,21-25,Low,Regional,Low,False
S00127,Male,<=20,Medium,Regional,Low,False
S00128,Male,21-25,Low,Local,Medium,False
S00129,Female,21-25,Low,Regional,High,False
S00130,Male,21-25,Medium,Local,High,False
S00131,Female,35+,Medium,Local,Low,False
S00132,Female,<=20,Low,Local,Medium,False
S00133,Female,21-25,High,International,High,True
S00134,Female,<=20,Medium,Local,Medium,False
S00135,Male,<=20,Low,International,High,True
S00136,Female,<=20,Low,Local,High,False
S00137,Male,<=20,Low,International,Low,True
S00138,Male,21-25,Low,International,Medium,True
S00139,Female,21-25,Medium,International,Low,True
S00140,Non-binary,21-25,Medium,Local,High,False
S00141,Male,<=20,High,Regional,Medium,False
S00142,Female,<=20,Low,International,High,True
S00143,Male,26-34,Medium,Local,High,False
S00144,Female,<=20,Medium,Local,Low,False
S00145,Female,21-25,Medium,Regional,Low,False
S00146,Female,21-25,Medium,Local,Medium,False
S00147,Male,21-25,High,Regional,High,False
S00148,Male,<=20,Low,Local,High,False
S00149,Female,26-34,Medium,Local,High,False
S00150,Female,<=20,High,Local,Medium,False
S00151,Male,26-34,Low,Local,Medium,False
S00152,Female,<=20,Low,Local,Low,False
S00153,Female,<=20,Low,Regional,Low,False
S00154,Female,<=20,Medium,Local,Medium,False
S00155,Non-binary,21-25,Low,Regional,High,False
S00156,Female,<=20,Low,Regional,Medium,False
S00157,Male,<=20,Medium,Local,High,False
S00158,Male,<=20,Medium,Local,Medium,False
S00159,Female,26-34,Low,Local,Medium,False
S00160,Male,21-25,Medium,Local,Medium,False
S00161,Female,21-25,Medium,Local,Medium,False
S00162,Male,21-25,High,Local,High,False
S00163,Male,<=20,Medium,International,Medium,True
S00164,Male,<=20,Medium,Local,Medium,False
S00165,Female,26-34,Medium,Local,High,False
S00166,Male,<=20,Low,International,High,True
S00167,Female,<=20,Medium,Regional,Medium,False
S00168,Female,<=20,High,Regional,Medium,False
S00169,Female,<=20,Medium,Regional,Low,False
S00170,Male,<=20,High,Local,Low,False
S00171,Male,<=20,High,Regional,Low,False
S00172,Female,<=20,Low,International,High,True
S00173,Male,<=20,Low,Local,Low,False
S00174,Female,<=20,Low,Local,Medium,False
S00175,Male,<=20,Medium,Local,Medium,False
S00176,Female,<=20,Low,Local,High,False
S00177,Male,21-25,High,Local,Low,False
S00178,Female,<=20,Low,Local,Medium,False
S00179,Male,21-25,Medium,Local,Medium,False
S00180,Female,21-25,Low,Local,Medium,False
S00181,Female,21-25,High,Local,Medium,False
S00182,Female,<=20,Medium,Regional,Medium,False
S00183,Male,<=20,High,Local,Low,False
S00184,Male,<=20,High,Local,Medium,False
S00185,Female,21-25,Medium,Local,Low,False
S00186,Male,<=20,Low,Local,High,False
S00187,Male,21-25,Low,Local,Medium,False
S00188,Male,26-34,Low,Local,High,False
S00189,Male,<=20,Medium,Regional,Low,False
S00190,Female,<=20,Low,Local,High,False
S00191,Female,21-25,Low,Local,Medium,False
S00192,Male,<=20,Medium,Local,Low,False
S00193,Male,<=20,Medium,Local,Medium,False
S00194,Male,26-34,Medium,Regional,Medium,False
S00195,Female,<=20,Medium,Local,High,False
S00196,Female,26-34,High,Regional,Medium,False
S00197,Male,21-25,Medium,Local,Low,False
S00198,Male,21-25,Low,Regional,Medium,False
S00199,Male,<=20,Medium,Regional,Medium,False
S00200,Male,<=20,High,Regional,Low,False
S00201,Male,<=20,Low,International,Medium,True
S00202,Female,<=20,Medium,Local,Medium,False
S00203,Female,<=20,Medium,International,High,True
S00204,Male,<=20,Low,Local,Medium,False
S00205,Male,<=20,High,Regional,Medium,False
S00206,Female,<=20,Low,Local,Low,False
S00207,Female,21-25,Medium,Regional,Low,False
S00208,Male,<=20,Medium,Regional,High,False
S00209,Female,<=20,Medium,Local,High,False
S00210,Female,21-25,Low,Regional,Medium,False
S00211,Male,35+,Low,Regional,High,False
S00212,Male,<=20,Low,Local,Medium,False
S00213,Male,<=20,Low,Local,High,False
S00214,Female,21-25,Medium,Local,Low,False
S00215,Male,26-34,High,Local,Medium,False
S00216,Female,21-25,Medium,Local,Medium,False
S00217,Female,21-25,Medium,Local,Medium,False
S00218,Male,<=20,Medium,Local,Medium,False
S00219,Male,<=20,Medium,Local,Medium,False
S00220,Male,<=20,High,Local,Medium,False
S00221,Male,21-25,Low,Regional,Low,False
S00222,Male,21-25,High,Local,Medium,False
S00223,Female,35+,Medium,Regional,Medium,False
S00224,Female,<=20,High,Local,High,False
S00225,Female,<=20,Medium,Local,Medium,False
S00226,Female,<=20,Medium,Local,Low,False
S00227,Non-binary,21-25,Low,Regional,Medium,False
S00228,Female,21-25,Low,Regional,Low,False
S00229,Male,<=20,Medium,Regional,Medium,False
S00230,Male,<=20,High,Local,Low,False
S00231,Male,<=20,Medium,Regional,Medium,False
S00232,Male,<=20,Medium,Local,Low,False
S00233,Male,26-34,High,Regional,Low,False
S00234,Male,<=20,Medium,Local,High,False
S00235,Female,21-25,Low,Local,High,False
S00236,Male,21-25,Low,Local,Medium,False
S00237,Female,21-25,Low,Regional,Low,False
S00238,Female,<=20,High,Local,High,False
S00239,Male,21-25,High,Local,High,False
S00240,Female,<=20,Low,Local,High,False
S00241,Male,<=20,Low,International,Medium,True
S00242,Male,<=20,Medium,Local,Low,False
S00243,Male,<=20,High,Regional,Low,False
S00244,Female,<=20,Medium,International,High,True
S00245,Female,<=20,Medium,International,High,True
S00246,Male,35+,Low,Regional,Medium,False
S00247,Female,<=20,Medium,Regional,Medium,False
S00248,Male,21-25,Low,Local,Medium,False
S00249,Male,35+,High,Local,High,False
S00250,Male,<=20,Medium,Local,Medium,False
S00251,Female,21-25,High,Local,Medium,False
S00252,Female,<=20,Medium,Local,Low,False
S00253,Male,<=20,High,Regional,Medium,False
S00254,Female,<=20,Medium,Local,Medium,False
S00255,Female,26-34,Medium,Regional,High,False
S00256,Male,<=20,Medium,Local,Low,False
S00257,Male,21-25,Low,Local,Low,False
S00258,Male,<=20,High,Local,Medium,False
S00259,Male,26-34,Medium,Local,Medium,False
S00260,Female,<=20,Medium,International,Medium,True
S00261,Male,21-25,High,Local,Medium,False
S00262,Prefer not to say,21-25,High,Local,Medium,False
S00263,Female,21-25,Medium,Regional,High,False
S00264,Male,26-34,High,Local,Medium,False
S00265,Male,21-25,Low,Local,Medium,False
S00266,Male,<=20,Low,Local,Low,False
S00267,Male,<=20,Medium,Local,High,False
S00268,Male,<=20,Medium,Local,High,False
S00269,Female,<=20,Medium,Regional,Medium,False
S00270,Female,<=20,Medium,Local,Low,False
S00271,Male,<=20,Medium,Local,Low,False
S00272,Male,<=20,High,Local,Medium,False
S00273,Male,35+,Medium,Local,Low,False
S00274,Male,<=20,High,International,Medium,True
S00275,Male,26-34,Medium,Local,Medium,False
S00276,Male,<=20,Low,International,Medium,True
S00277,Male,21-25,Low,Local,High,False
S00278,Male,21-25,Medium,Regional,Medium,False
S00279,Male,<=20,High,Local,High,False
S00280,Male,<=20,Low,Local,Low,False
S00281,Male,<=20,Low,Local,Low,False
S00282,Female,<=20,High,Local,Medium,False
S00283,Female,26-34,Medium,Local,Medium,False
S00284,Female,21-25,Low,Local,Low,False
S00285,Male,<=20,Low,Regional,Medium,False
S00286,Female,<=20,High,Local,Medium,False
S00287,Female,<=20,High,Local,High,False
S00288,Male,<=20,Low,Regional,Medium,False
S00289,Female,21-25,Medium,Local,Medium,False
S00290,Male,<=20,High,Regional,High,False
S00291,Female,<=20,Medium,Local,Medium,False
S00292,Female,<=20,High,Local,Medium,False
S00293,Male,<=20,Medium,Local,Medium,False
S00294,Female,21-25,High,International,Medium,True
S00295,Female,<=20,Medium,Regional,Low,False
S00296,Male,35+,Low,International,Low,True
S00297,Male,26-34,Medium,Local,Medium,False
S00298,Female,<=20,Medium,Regional,Medium,False
S00299,Male,<=20,High,Local,Medium,False
S00300,Female,21-25,Low,Local,Low,False
S00301,Female,26-34,High,Regional,Low,False
S00302,Male,21-25,Low,Local,Medium,False
S00303,Male,<=20,Medium,Local,Medium,False
S00304,Male,35+,Low,Local,Medium,False
S00305,Male,<=20,Medium,Regional,Medium,False
S00306,Non-binary,21-25,Medium,Local,High,False
S00307,Male,26-34,Medium,Local,Medium,False
S00308,Female,<=20,Low,International,Medium,True
S00309,Male,26-34,Medium,Local,High,False
S00310,Female,<=20,High,Local,High,False
S00311,Female,35+,Medium,Local,Medium,False
S00312,Female,<=20,Low,Regional,High,False
S00313,Female,35+,Low,Local,Medium,False
S00314,Male,<=20,High,Local,Medium,False
S00315,Male,21-25,Medium,Local,Medium,False
S00316,Male,<=20,Low,Local,Medium,False
S00317,Female,<=20,Medium,Local,Medium,False
S00318,Female,<=20,Medium,Local,Medium,False
S00319,Female,21-25,Low,Local,High,False
S00320,Female,<=20,High,International,Medium,True
S00321,Male,21-25,Medium,Regional,Medium,False
S00322,Male,<=20,Medium,International,Low,True
S00323,Male,35+,Medium,Regional,High,False
S00324,Female,<=20,High,Local,High,False
S00325,Male,<=20,Low,Local,Medium,False
S00326,Male,<=20,Low,International,High,True
S00327,Male,<=20,Low,Local,High,False
S00328,Male,<=20,Medium,International,High,True
S00329,Female,<=20,Medium,Local,Medium,False
S00330,Female,26-34,Medium,Local,Medium,False
S00331,Female,21-25,Low,Local,Low,False
S00332,Male,21-25,Medium,Local,High,False
S00333,Female,<=20,Medium,Local,High,False
S00334,Female,21-25,Medium,Local,Medium,False
S00335,Female,<=20,High,Local,Medium,False
S00336,Female,21-25,Medium,Local,Medium,False
S00337,Male,<=20,Medium,Local,Medium,False
S00338,Male,<=20,Low,Regional,Medium,False
S00339,Female,<=20,Medium,Local,Medium,False
S00340,Female,26-34,High,Local,Low,False
S00341,Male,<=20,High,Local,High,False
S00342,Female,21-25,Low,Regional,Medium,False
S00343,Female,<=20,Medium,Local,High,False
S00344,Female,21-25,Low,International,Medium,True
S00345,Female,26-34,High,Local,Medium,False
S00346,Male,<=20,Medium,Local,Low,False
S00347,Male,<=20,Medium,Local,High,False
S00348,Female,26-34,Low,Local,Medium,False
S00349,Female,<=20,High,Local,Low,False
S00350,Male,<=20,Medium,Regional,Low,False
S00351,Male,21-25,Low,Local,Medium,False
S00352,Male,21-25,Medium,Regional,Medium,False
S00353,Male,<=20,Low,Regional,Low,False
S00354,Female,21-25,Medium,Regional,Medium,False
S00355,Female,<=20,High,Local,Medium,False
S00356,Male,<=20,High,International,Medium,True
S00357,Female,21-25,Medium,Local,High,False
S00358,Male,<=20,High,Local,Medium,False
S00359,Male,<=20,Medium,Regional,High,False
S00360,Male,21-25,Low,Local,Low,False
S00361,Female,26-34,High,Regional,Medium,False
S00362,Male,26-34,Medium,Local,Low,False
S00363,Female,35+,Medium,Local,Medium,False
S00364,Male,26-34,High,Local,High,False
S00365,Male,<=20,Low,Local,High,False
S00366,Female,<=20,Medium,Local,Medium,False
S00367,Male,21-25,High,Local,Medium,False
S00368,Male,<=20,Medium,Regional,Medium,False
S00369,Female,21-25,Low,Regional,Medium,False
S00370,Female,21-25,Medium,Regional,Low,False
S00371,Female,<=20,Low,Regional,Medium,False
S00372,Female,26-34,Medium,Local,Medium,False
S00373,Female,<=20,Medium,Regional,Medium,False
S00374,Male,<=20,Medium,Local,Low,False
S00375,Female,35+,Medium,Local,Medium,False
S00376,Female,<=20,Medium,Regional,Medium,False
S00377,Male,<=20,Medium,Local,Low,False
S00378,Female,<=20,High,Regional,Medium,False
S00379,Male,21-25,Medium,Local,Medium,False
S00380,Female,21-25,High,Local,Medium,False
S00381,Female,21-25,Medium,Local,High,False
S00382,Male,21-25,Medium,Local,Medium,False
S00383,Male,<=20,Low,Regional,Medium,False
S00384,Male,26-34,Medium,International,High,True
S00385,Male,26-34,Medium,Local,Medium,False
S00386,Male,<=20,Low,Local,High,False
S00387,Female,<=20,High,Local,Medium,False
S00388,Female,35+,Medium,Regional,Low,False
S00389,Male,26-34,High,Local,Medium,False
S00390,Male,26-34,Low,International,Medium,True
S00391,Prefer not to say,26-34,Medium,Regional,Low,False
S00392,Female,<=20,Low,Regional,Low,False
S00393,Female,21-25,Low,Local,Low,False
S00394,Male,<=20,High,Regional,Medium,False
S00395,Female,<=20,Low,Local,High,False
S00396,Male,21-25,Medium,Regional,High,False
S00397,Male,<=20,Low,Regional,Medium,False
S00398,Female,21-25,Medium,Local,Medium,False
S00399,Male,<=20,High,Local,Low,False
S00400,Male,<=20,Medium,International,Medium,True
S00401,Female,<=20,Medium,International,High,True
S00402,Male,<=20,Medium,Regional,Low,False
S00403,Male,<=20,High,Local,High,False
S00404,Male,<=20,Medium,Local,High,False
S00405,Female,35+,Medium,Regional,Medium,False
S00406,Male,<=20,Medium,Local,Medium,False
S00407,Female,<=20,High,Local,Medium,False
S00408,Female,21-25,Medium,Local,High,False
S00409,Male,21-25,Medium,Local,Medium,False
S00410,Female,<=20,Medium,Local,Medium,False
S00411,Female,21-25,Low,Local,Medium,False
S00412,Male,21-25,Medium,Local,Medium,False
S00413,Male,<=20,Medium,Regional,High,False
S00414,Male,<=20,Medium,International,High,True
S00415,Male,26-34,Medium,Local,Medium,False
S00416,Female,21-25,Low,Local,Medium,False
S00417,Female,21-25,Medium,Local,High,False
S00418,Female,<=20,High,Regional,Low,False
S00419,Male,<=20,High,Regional,Medium,False
S00420,Male,21-25,Medium,Regional,Medium,False
S00421,Male,<=20,Medium,Regional,Medium,False
S00422,Male,<=20,High,Local,Medium,False
S00423,Female,21-25,Medium,Local,Medium,False
S00424,Male,<=20,Medium,Local,Medium,False
S00425,Female,21-25,High,Regional,Low,False
S00426,Male,21-25,Medium,Local,Low,False
S00427,Female,<=20,Medium,International,Low,True
S00428,Male,21-25,Low,Regional,Low,False
S00429,Female,<=20,Low,Regional,Medium,False
S00430,Female,21-25,Low,Local,Medium,False
S00431,Female,<=20,High,Local,Low,False
S00432,Male,<=20,Medium,Regional,Medium,False
S00433,Male,21-25,Medium,Local,Medium,False
S00434,Female,<=20,High,Local,Low,False
S00435,Female,26-34,Medium,International,Medium,True
S00436,Male,<=20,Medium,Regional,Medium,False
S00437,Female,<=20,Low,Local,Low,False
S00438,Male,<=20,High,Regional,Low,False
S00439,Male,<=20,Low,Local,High,False
S00440,Female,<=20,Low,Local,Medium,False
S00441,Female,21-25,Low,Local,Medium,False
S00442,Non-binary,21-25,Low,Regional,Medium,False
S00443,Female,26-34,Low,Local,High,False
S00444,Female,35+,Medium,Local,High,False
S00445,Male,<=20,Low,Local,Medium,False
S00446,Male,21-25,Medium,International,Medium,True
S00447,Non-binary,<=20,Low,Regional,Medium,False
S00448,Male,21-25,Low,Local,Low,False
S00449,Female,<=20,Medium,Local,High,False
S00450,Female,35+,High,Local,Medium,False
S00451,Male,21-25,High,Local,Medium,False
S00452,Male,35+,High,Regional,High,False
S00453,Female,21-25,Medium,Local,Low,False
S00454,Male,26-34,Medium,International,Low,True
S00455,Female,21-25,Medium,Local,Medium,False
S00456,Male,<=20,Medium,Local,Medium,False
S00457,Female,<=20,Low,Local,Medium,False
S00458,Female,<=20,Medium,Local,Low,False
S00459,Female,<=20,Medium,International,Medium,True
S00460,Female,<=20,Medium,Regional,Low,False
S00461,Female,<=20,Medium,Local,Medium,False
S00462,Male,<=20,Low,Local,Low,False
S00463,Male,35+,Medium,Local,Medium,False
S00464,Male,26-34,Low,Local,High,False
S00465,Male,<=20,High,Regional,High,False
S00466,Female,<=20,Low,Regional,Medium,False
S00467,Female,<=20,Low,Local,Medium,False
S00468,Male,<=20,High,Local,Medium,False
S00469,Female,21-25,Medium,Local,Medium,False
S00470,Male,<=20,Low,International,High,True
S00471,Female,21-25,Medium,Local,High,False
S00472,Male,26-34,Low,Local,High,False
S00473,Female,21-25,Low,Local,High,False
S00474,Male,<=20,Low,Local,Low,False
S00475,Male,21-25,Medium,Local,Medium,False
S00476,Prefer not to say,<=20,High,Regional,High,False
S00477,Female,<=20,Medium,International,High,True
S00478,Male,<=20,Medium,Local,High,False
S00479,Male,<=20,Low,Local,Medium,False
S00480,Male,<=20,Medium,Regional,Medium,False
S00481,Male,<=20,High,Regional,Low,False
S00482,Male,21-25,Low,Local,Medium,False
S00483,Female,21-25,High,Regional,Medium,False
S00484,Male,<=20,Medium,Regional,High,False
S00485,Male,<=20,High,Local,High,False
S00486,Male,21-25,Medium,Local,Medium,False
S00487,Female,<=20,Medium,Regional,Low,False
S00488,Female,26-34,Medium,Regional,Medium,False
S00489,Male,21-25,Medium,Local,Medium,False
S00490,Male,<=20,Low,Local,Low,False
S00491,Female,<=20,High,Local,Low,False
S00492,Male,<=20,Low,Regional,High,False
S00493,Female,<=20,Low,Local,Low,False
S00494,Female,<=20,Medium,Local,Low,False
S00495,Female,21-25,Medium,Regional,Medium,False
S00496,Female,<=20,High,Local,High,False
S00497,Male,<=20,Medium,Regional,High,False
S00498,Female,21-25,Low,Local,High,False
S00499,Non-binary,<=20,Medium,Local,Medium,False
S00500,Non-binary,<=20,Low,Local,Medium,False
S00501,Male,<=20,Medium,International,High,True
S00502,Male,<=20,Medium,Regional,Medium,False
S00503,Female,21-25,Low,Local,Medium,False
S00504,Male,<=20,Medium,International,Medium,True
S00505,Male,21-25,Medium,Regional,High,False
S00506,Female,<=20,Medium,Local,High,False
S00507,Male,<=20,Medium,Local,Medium,False
S00508,Male,<=20,Low,Local,Medium,False
S00509,Male,21-25,Low,Local,High,False
S00510,Male,<=20,Low,Local,Low,False
S00511,Male,<=20,Low,Local,Medium,False
S00512,Female,21-25,Medium,Local,Medium,False
S00513,Male,<=20,High,Local,Medium,False
S00514,Male,<=20,Medium,Local,Medium,False
S00515,Female,21-25,Medium,Local,Medium,False
S00516,Female,<=20,Medium,Local,Medium,False
S00517,Female,21-25,Medium,Local,High,False
S00518,Male,<=20,High,International,Medium,True
S00519,Non-binary,21-25,High,Local,High,False
S00520,Female,21-25,Medium,Local,Medium,False
S00521,Male,<=20,Low,Local,Medium,False
S00522,Female,21-25,Medium,Local,Medium,False
S00523,Male,26-34,Low,Regional,Medium,False
S00524,Male,<=20,Medium,Local,Low,False
S00525,Male,<=20,High,Local,Medium,False
S00526,Female,21-25,Low,Local,High,False
S00527,Female,21-25,High,Local,Medium,False
S00528,Female,<=20,High,Local,Medium,False
S00529,Female,26-34,High,Local,Medium,False
S00530,Male,<=20,Medium,Local,Low,False
S00531,Male,21-25,Low,Regional,Medium,False
S00532,Prefer not to say,21-25,Medium,Local,Low,False
S00533,Prefer not to say,35+,Medium,Local,Low,False
S00534,Male,<=20,Low,Local,Medium,False
S00535,Male,21-25,Medium,International,Medium,True
S00536,Male,<=20,Medium,Local,Low,False
S00537,Male,<=20,Low,Local,Low,False
S00538,Female,<=20,Medium,Local,Low,False
S00539,Female,21-25,Low,Local,Medium,False
S00540,Female,<=20,Medium,Local,Low,False
S00541,Male,<=20,Medium,International,Medium,True
S00542,Male,21-25,Low,Local,Medium,False
S00543,Female,21-25,High,Regional,Medium,False
S00544,Male,21-25,Low,Local,High,False
S00545,Male,26-34,Medium,Regional,Medium,False
S00546,Female,<=20,Medium,Local,Low,False
S00547,Female,35+,Medium,Local,Medium,False
S00548,Male,26-34,Low,International,High,True
S00549,Male,<=20,High,Local,High,False
S00550,Male,<=20,High,International,Medium,True
S00551,Male,<=20,Medium,Local,Low,False
S00552,Male,<=20,Medium,International,Medium,True
S00553,Male,21-25,Low,Local,Medium,False
S00554,Male,21-25,Medium,Regional,Medium,False
S00555,Male,21-25,Medium,Local,Medium,False
S00556,Female,<=20,Medium,Local,Low,False
S00557,Female,<=20,Medium,Regional,Low,False
S00558,Female,26-34,Medium,Regional,Medium,False
S00559,Male,<=20,Low,Local,High,False
S00560,Male,35+,Low,Local,Low,False
S00561,Male,<=20,Low,Local,Medium,False
S00562,Female,35+,Low,Local,Medium,False
S00563,Female,<=20,Medium,Local,Medium,False
S00564,Female,<=20,Medium,Regional,High,False
S00565,Female,<=20,Medium,Local,Medium,False
S00566,Male,21-25,Medium,Local,Medium,False
S00567,Female,26-34,Medium,International,Medium,True
S00568,Female,<=20,Medium,Local,Low,False
S00569,Male,26-34,Medium,Local,Medium,False
S00570,Female,21-25,Medium,Regional,Medium,False
S00571,Male,21-25,Medium,Regional,Low,False
S00572,Male,21-25,Low,Regional,Medium,False
S00573,Female,<=20,Low,Regional,Low,False
S00574,Male,<=20,Medium,Local,Low,False
S00575,Male,26-34,High,Local,Medium,False
S00576,Male,26-34,Medium,Regional,Low,False
S00577,Female,35+,Medium,Local,Medium,False
S00578,Male,26-34,Medium,Local,High,False
S00579,Male,<=20,Medium,Regional,Low,False
S00580,Female,21-25,Medium,Regional,Medium,False
S00581,Female,<=20,High,Local,Medium,False
S00582,Non-binary,35+,Low,International,Medium,True
S00583,Male,<=20,Medium,Regional,Medium,False
S00584,Female,21-25,Low,International,Medium,True
S00585,Male,<=20,Medium,International,Low,True
S00586,Female,<=20,High,Local,Low,False
S00587,Female,<=20,Medium,Regional,Medium,False
S00588,Female,26-34,Medium,Regional,Low,False
S00589,Female,21-25,High,Regional,High,False
S00590,Female,<=20,Medium,Regional,Medium,False
S00591,Female,21-25,Medium,Local,Low,False
S00592,Male,21-25,High,Local,Low,False
S00593,Female,<=20,Medium,Local,Medium,False
S00594,Female,<=20,Medium,Regional,Medium,False
S00595,Male,26-34,Low,Regional,High,False
S00596,Female,21-25,Low,Local,Low,False
S00597,Male,<=20,Medium,Local,Low,False
S00598,Female,21-25,Medium,Regional,Medium,False
S00599,Female,<=20,High,Local,Low,False
S00600,Female,<=20,High,Local,Medium,False
S00601,Female,<=20,High,Local,Medium,False
S00602,Female,<=20,Medium,International,Medium,True
S00603,Female,21-25,High,Regional,Medium,False
S00604,Female,26-34,Medium,Local,Medium,False
S00605,Female,<=20,Medium,Local,Medium,False
S00606,Female,<=20,Medium,Local,Medium,False
S00607,Female,21-25,Low,Regional,Medium,False
S00608,Female,26-34,Low,Regional,Medium,False
S00609,Male,21-25,High,Local,Low,False
S00610,Male,26-34,Medium,Local,Low,False
